PAT_ZIP,CMS_DRG,zipyeartot2000,zipyeartot_p2000,zipyeartot_m2000,zipyeartot2001,zipyeartot_p2001,zipyeartot_m2001,zipyeartot2002,zipyeartot_p2002,zipyeartot_m2002,zipyeartot2003,zipyeartot_p2003,zipyeartot_m2003,zipyeartot2004,zipyeartot_p2004,zipyeartot_m2004,zipyeartot2005,zipyeartot_p2005,zipyeartot_m2005,zipyeartot2006,zipyeartot_p2006,zipyeartot_m2006,zipyeartot2007,zipyeartot_p2007,zipyeartot_m2007,zipyeartot2008,zipyeartot_p2008,zipyeartot_m2008,zipyeartot2009,zipyeartot_p2009,zipyeartot_m2009,zipyeartot2010,zipyeartot_p2010,zipyeartot_m2010,zipmax,zipmin,zipmean,zipsd,zipmax_p,zipmin_p,zipmean_p,zipsd_p,zipmax_m,zipmin_m,zipmean_m,zipsd_m
75001,385,0,0,0,2,2,0,2,2,0,1,1,0,8,3,5,5,2,3,4,1,3,2,2,0,1,0,1,0,0,0,2,1,1,8,0,2.4545455,2.3817487,3,0,1.2727273,1.00905,5,0,1.1818181,1.7215215
75001,386,3,1,2,3,3,0,7,6,1,8,5,3,4,1,3,8,5,3,2,2,0,4,3,1,4,3,1,8,6,2,1,0,1,8,1,4.7272725,2.5725827,6,0,3.1818182,2.0889318,3,0,1.5454545,1.1281521
75001,387,4,3,1,5,1,4,7,1,6,4,0,4,5,4,1,5,1,4,5,3,2,4,2,2,4,1,3,3,2,1,6,4,2,7,3,4.7272725,1.1037128,4,0,2,1.3416408,6,1,2.7272727,1.6180797
75001,388,7,3,4,8,6,2,7,3,4,9,4,5,3,0,3,6,5,1,6,4,2,9,2,7,6,1,5,7,4,3,3,1,2,9,3,6.4545455,2.0181,6,0,3,1.8439089,7,1,3.4545455,1.7529197
75001,389,15,9,6,18,7,11,26,11,15,18,5,13,19,6,13,17,4,13,13,2,11,6,1,5,2,1,1,2,1,1,5,2,3,26,2,12.818182,7.9349627,11,1,4.4545455,3.4745831,15,1,8.363636,5.258759
75001,390,34,19,15,24,18,6,20,13,7,29,22,7,27,9,18,37,16,21,31,15,16,22,9,13,23,9,14,32,10,22,27,8,19,37,20,27.818182,5.3444958,22,8,13.454545,4.8448663,22,6,14.363636,5.6616735
75001,391,155,116,39,178,110,68,183,110,73,182,83,99,201,73,128,212,92,120,227,90,137,160,70,90,77,51,26,97,51,46,119,53,66,227,77,162.81818,47.631542,116,51,81.727272,24.240837,137,26,81.090912,37.07143
75002,385,4,4,0,8,7,1,10,9,1,10,9,1,5,5,0,11,10,1,13,12,1,9,7,2,6,5,1,11,9,2,8,7,1,13,4,8.636364,2.766685,12,4,7.6363635,2.4196167,2,0,1,.63245553
75002,386,12,12,0,19,16,3,19,19,0,21,18,3,23,20,3,24,20,4,27,23,4,16,14,2,17,17,0,23,20,3,22,15,7,27,12,20.272728,4.221159,23,12,17.636364,3.2022719,7,0,2.6363637,2.1105795
75002,387,16,16,0,15,15,0,16,12,4,19,18,1,17,16,1,24,21,3,11,11,0,16,15,1,14,12,2,6,3,3,10,10,0,24,6,14.909091,4.7634974,21,3,13.545455,4.7615886,4,0,1.3636364,1.4333686
75002,388,16,14,2,24,23,1,29,26,3,32,29,3,42,35,7,30,27,3,56,51,5,35,31,4,41,39,2,37,29,8,29,20,9,56,16,33.727272,10.488955,51,14,29.454546,9.8829517,9,1,4.2727275,2.6491852
75002,389,37,36,1,49,42,7,30,26,4,30,26,4,42,36,6,39,34,5,28,26,2,24,20,4,29,24,5,19,17,2,23,14,9,49,19,31.818182,8.9979792,42,14,27.363636,8.7438288,9,1,4.4545455,2.339386
75002,390,86,82,4,94,82,12,96,91,5,112,105,7,113,93,20,137,122,15,122,114,8,94,89,5,143,123,20,119,87,32,121,91,30,143,86,112.45454,18.424786,123,82,98.090912,15.306564,32,4,14.363636,10.012719
75002,391,479,445,34,557,506,51,566,495,71,670,576,94,704,609,95,680,630,50,656,598,58,623,562,61,554,483,71,577,438,139,531,375,156,704,479,599.72729,71.296692,630,375,519.72729,81.589325,156,34,80,38.133976
75006,385,8,5,3,8,6,2,13,9,4,7,2,5,7,1,6,4,2,2,6,4,2,5,1,4,6,2,4,5,0,5,4,3,1,13,4,6.6363635,2.5405798,9,0,3.1818182,2.6388702,6,1,3.4545455,1.5724908
75006,386,11,7,4,9,4,5,15,10,5,8,5,3,14,4,10,12,4,8,13,8,5,18,7,11,17,5,12,16,5,11,8,6,2,18,8,12.818182,3.544522,10,4,5.909091,1.9211739,12,2,6.909091,3.5903912
75006,387,16,6,10,14,7,7,16,10,6,7,3,4,15,4,11,8,4,4,11,3,8,12,4,8,13,2,11,8,0,8,10,5,5,16,7,11.818182,3.2807982,10,0,4.3636365,2.6560395,11,4,7.4545455,2.5441556
75006,388,27,11,16,23,12,11,29,18,11,20,8,12,31,16,15,25,8,17,23,5,18,20,12,8,16,8,8,24,6,18,27,7,20,31,16,24.09091,4.3693147,18,5,10.090909,4.1341152,20,8,14,4.1952353
75006,389,56,37,19,66,24,42,47,22,25,47,15,32,40,16,24,46,15,31,50,13,37,18,4,14,30,10,20,35,9,26,30,10,20,66,18,42.272728,13.483997,37,4,15.909091,9.0383024,42,14,26.363636,8.4056263
75006,390,77,40,37,109,60,49,81,41,40,116,40,76,96,40,56,103,36,67,90,39,51,73,24,49,68,34,34,158,42,116,123,34,89,158,68,99.454544,26.447546,60,24,39.090908,8.6076078,116,34,60.363636,24.949039
75006,391,525,333,192,534,323,211,580,299,281,523,236,287,552,248,304,561,212,349,575,205,370,397,159,238,325,162,163,453,139,314,429,140,289,580,325,495.81818,83.097313,333,139,223.27272,71.327545,370,163,272.54544,64.861954
75007,385,13,10,3,7,7,0,8,7,1,7,7,0,5,3,2,4,2,2,7,4,3,5,4,1,10,5,5,4,3,1,7,0,7,13,4,7,2.6832817,10,0,4.7272725,2.8316395,7,0,2.2727273,2.1489956
75007,386,17,16,1,16,14,2,18,17,1,12,11,1,14,8,6,16,14,2,14,8,6,11,5,6,10,8,2,13,8,5,8,7,1,18,8,13.545455,3.1101007,17,5,10.545455,4.058661,6,1,3,2.236068
75007,387,28,25,3,23,20,3,20,17,3,12,7,5,16,11,5,8,6,2,11,7,4,5,3,2,10,7,3,7,1,6,9,4,5,28,5,13.545455,7.3125048,25,1,9.818182,7.6396098,6,2,3.7272727,1.3483998
75007,388,23,22,1,25,18,7,26,19,7,19,11,8,26,19,7,21,13,8,16,11,5,20,14,6,18,13,5,24,15,9,16,13,3,26,16,21.272728,3.7707005,22,11,15.272727,3.6630836,9,1,6,2.366432
75007,389,58,47,11,44,39,5,28,14,14,28,15,13,31,18,13,25,17,8,18,14,4,17,10,7,15,8,7,13,6,7,17,14,3,58,13,26.727272,13.75566,47,6,18.363636,12.831779,14,3,8.363636,3.8281255
75007,390,82,64,18,86,64,22,74,59,15,76,54,22,66,40,26,80,49,31,76,55,21,56,44,12,91,55,36,95,57,38,78,41,37,95,56,78.181816,10.925366,64,40,52.909092,8.4433947,38,12,25.272728,9.0674238
75007,391,516,445,71,479,394,85,493,385,108,438,315,123,425,293,132,461,309,152,485,295,190,333,257,76,365,241,124,387,223,164,356,193,163,516,333,430.72726,62.284977,445,193,304.54544,77.42527,190,71,126.18182,38.940514
75009,385,1,1,0,1,1,0,2,1,1,3,2,1,3,2,1,1,0,1,1,1,0,1,0,1,2,2,0,2,1,1,0,0,0,3,0,1.5454545,.93419874,2,0,1,.77459669,1,0,.54545456,.52223295
75009,386,3,2,1,2,0,2,2,2,0,5,4,1,0,0,0,1,1,0,1,1,0,4,3,1,0,0,0,0,0,0,1,1,0,5,0,1.7272727,1.6787441,4,0,1.2727273,1.3483998,2,0,.45454547,.68755168
75009,387,2,1,1,1,1,0,1,1,0,3,2,1,1,0,1,1,1,0,4,4,0,2,1,1,2,2,0,1,1,0,0,0,0,4,0,1.6363636,1.120065,4,0,1.2727273,1.1037128,1,0,.36363637,.50452501
